年,15_24歲男,15_24歲女,25_29歲男,25_29歲女,30_34歲男,30_34歲女,35_39歲男,35_39歲女,40_44歲男,40_44歲女,45_49歲男,45_49歲女,50_54歲男,50_54歲女,55_59歲男,55_59歲女,60_64歲男,60_64歲女,65歲以上男,65歲以上女
2006,10.5,7.9,6.2,4.8,4.3,2.9,2.5,2.2,3,2.9,1.6,2.4,3.8,1.5,1.8,4.7,1.9,0.5,0.7,3.4
2007,9,9,6,4.9,4.3,3.6,2.3,2.1,3.1,2.9,2.1,2.1,2.9,1.9,2.7,4.1,1.6,0.6,0.9,2.4
2008,12.5,10.6,6.6,5.3,3.9,2.8,2.7,1.8,2.6,2.2,2.9,2.3,3.6,2.8,2.8,3.1,1.7,0,1,0
2009,16.5,11.5,10,7.3,6.1,4.7,5,3,5.8,3.3,4.1,4.5,4.6,3,5,1.7,3.2,1.9,0.1,0
2010,12.6,10.1,8.7,6.1,6.9,4.2,4.4,3.5,5.4,2.9,4.9,2.9,4.6,2.9,2.6,2.7,1.1,0.5,0,0
2011,12.2,10.7,7.7,5.7,4.8,3.4,4.6,2.6,4,2.4,3.7,1.9,2.5,2,3.5,0.9,1,0.5,0,0
2012,13.3,10.3,7.5,5.3,4.6,3.9,3.9,2.5,4,2.3,3.3,2.1,3.1,1.3,2.2,1,2.3,0.5,0,1.4
2013,11,8.8,7.4,6.2,5.1,3.3,4.7,4,2.8,1.9,3.7,1.9,2.7,1.6,1.8,2,2.7,2.3,0,0
2014,11.4,9.7,8.4,6.5,4.4,3.1,3.5,2.7,3.8,2.3,2.5,1.8,2.2,2.2,2,2.1,1.1,2.2,0.1,0.5
2015,10.9,9.5,6.5,6.3,4.1,3.8,3.2,3.3,3,1.3,2.9,1.9,3.2,2.3,1.2,1.2,0.7,4,0,0
2016,12.8,10.2,7,5.4,4,2.8,5,2.9,3,1.9,2.8,1.4,3.3,1.3,2.5,2.4,2.6,2.1,0.1,0
2017,8.6,10.2,7,4.5,3.7,2.2,3.3,3.2,5.3,2.2,3.5,1.4,3.7,1.7,2,1.4,2.5,1.5,0,0
2018,9.2,8.8,7.4,3.1,3.9,2.8,4.2,4.2,4.1,2.9,4,1.7,2.6,1.2,1.1,1,3.1,1.8,0,0
